command,times
cd,1
kill,1
rm,1
grep,1
cat,1
tail,1
ps,1
cp,1
mv,1
du,1
more,1
find,1
ls,1
telnet,1
ssh,1
vi,1
nohup,1
netstat,1
scp,1
tar,1
su,1
sh,1
awk,1
service,1
echo,1
mkdir,1
chmod,1
ping,1
curl,1
yum,1
systemctl,1
as,1
sed,1
mysql,1
history,1
install,1
chown,1
wc,1
rpm,1
less,1
tailf,1
export,1
ss,1
df,1
tcpdump,1
exec,1
head,1
host,1
iptables,1
unzip,1
lsof,1
mysqldump,1
egrep,1
zip,1
date,1
ethtool,1
stat,1
test,1
xargs,1
source,1
ip,1
passwd,1
sudo,1
touch,1
wget,1
ftp,1
ln,1
which,1
chkconfig,1
cut,1
md5sum,1
join,1
sshd,1
free,1
uname,1
crontab,1
hostnamectl,1
info,1
top,1
useradd,1
whereis,1
ifconfig,1
lvcreate,1
sftp,1
openssl,1
strings,1
chage,1
file,1
lspci,1
command,1
id,1
sort,1
enable,1
gzip,1
last,1
local,1
make,1
man,1
screen,1
sysctl,1
dump,1
hostname,1
locate,1
uniq,1
split,1
sync,1
diff,1
help,1
init,1
shutdown,1
gcc,1
killall,1
php,1
rpmbuild,1
uptime,1
userdel,1
who,1
arch,1
bc,1
chattr,1
comm,1
dd,1
env,1
firewall,1
login,1
lscpu,1
ntpdate,1
pathchk,1
pwd,1
quota,1
set,1
traceroute,1
tree,1
ulimit,1
cancel,1
clear,1
dmesg,1
dmidecode,1
fdisk,1
jobs,1
jq,1
ldd,1
lsblk,1
lsmod,1
lvextend,1
mail,1
mount,1
nc,1
parted,1
patch,1
perl,1
printf,1
pvcreate,1
reboot,1
sar,1
supervisord,1
vmstat,1
dirname,1
exit,1
fg,1
hwclock,1
iotop,1
lastlog,1
logrotate,1
lsattr,1
lsb_release,1
lvremove,1
pidof,1
pstack,1
setsid,1
sleep,1
syslog,1
tr,1
unrar,1
usermod,1
vgcreate,1
ar,1
badblocks,1
blkid,1
cal,1
continue,1
dhclient,1
dirs,1
dstat,1
ex,1
fuser,1
getenforce,1
git,1
groupadd,1
gunzip,1
htop,1
htpasswd,1
iostat,1
ld,1
logout,1
mesg,1
mysqladmin,1
named,1
partprobe,1
pkill,1
pstree,1
pv,1
pvdisplay,1
pvs,1
read,1
rmdir,1
route,1
rsync,1
seq,1
swapoff,1
tee,1
time,1
tracepath,1
true,1
updatedb,1
vgdisplay,1
vgextend,1
w,1
whoami,1
ab,1
accept,1
ack,1
alias,1
apachectl,1
apk,1
apropos,1
apt,1
aptitude,1
arj,1
arp,1
arpd,1
arping,1
arptables,1
arpwatch,1
at,1
atop,1
atq,1
atrm,1
axel,1
base64,1
basename,1
batch,1
bg,1
bind,1
blockdev,1
bmodinfo,1
break,1
builtin,1
bunzip2,1
bye,1
bzcat,1
bzcmp,1
bzdiff,1
bzgrep,1
bzip2,1
bzip2recover,1
bzless,1
bzmore,1
cdrecord,1
chcon,1
chfn,1
chgrp,1
chpasswd,1
chroot,1
chsh,1
cksum,1
clock,1
clockdiff,1
cmp,1
col,1
colrm,1
compress,1
consoletype,1
convertquota,1
cpio,1
csplit,1
cu,1
cupsdisable,1
cupsenable,1
declare,1
depmod,1
dhcpd,1
dhcrelay,1
diff3,1
diffstat,1
dig,1
dircolors,1
disown,1
dnf,1
dnsdomainname,1
domainname,1
dos2unix,1
dpkg,1
dris,1
e2fsck,1
e2label,1
ed,1
edquota,1
eject,1
elinks,1
elm,1
emacs,1
expand,1
exportfs,1
expr,1
false,1
fc,1
fgrep,1
findfs,1
finger,1
fishshell,1
fmt,1
fold,1
fping,1
fsck,1
ftpcount,1
ftpshut,1
ftptop,1
ftpwho,1
gcov,1
gdb,1
get_module,1
getsebool,1
gpasswd,1
gpm,1
groupdel,1
groupmod,1
groups,1
grpck,1
grpconv,1
grpunconv,1
grub,1
gzexe,1
halt,1
hdparm,1
hexdump,1
hostid,1
hping3,1
htdigest,1
iconv,1
ifcfg,1
ifdown,1
ifstat,1
iftop,1
ifup,1
indent,1
inotifywait,1
insmod,1
ip6tables,1
ipcalc,1
ipcrm,1
ipcs,1
iperf,1
iptraf,1
iptstate,1
ispell,1
jed,1
joe,1
jwhois,1
kernelversion,1
kexec,1
lastb,1
ldconfig,1
let,1
lftp,1
lftpget,1
lha,1
lilo,1
lnstat,1
logger,1
logname,1
logsave,1
logwatch,1
look,1
losetup,1
lp,1
lpadmin,1
lpc,1
lpq,1
lpr,1
lprm,1
lpstat,1
lsusb,1
ltrace,1
lvdisplay,1
lvreduce,1
lvresize,1
lvscan,1
lynx,1
mailq,1
mailstat,1
mapfile,1
mii,1
mkbootdisk,1
mke2fs,1
mkfs,1
mkinitrd,1
mkisofs,1
mknod,1
mkswap,1
mktemp,1
modprobe,1
mpstat,1
mtools,1
mysqlimport,1
mysqlshow,1
nano,1
ncftp,1
nethogs,1
newusers,1
nfsstat,1
ngrep,1
nice,1
nisdomainname,1
nl,1
nm,1
nmap,1
nmcli,1
nologin,1
nproc,1
nslookup,1
ntsysv,1
objdump,1
od,1
paste,1
pfctl,1
pgrep,1
pico,1
pigz,1
pmap,1
popd,1
poweroff,1
ppp,1
pr,1
protoize,1
pssh,1
pushd,1
pvchange,1
pvck,1
pvremove,1
pvscan,1
pwck,1
pwconv,1
pwunconv,1
quotacheck,1
quotaoff,1
quotaon,1
rcconf,1
rcp,1
readelf,1
readonly,1
reject,1
rename,1
renice,1
repquota,1
resize,1
restore,1
restorecon,1
return,1
rev,1
rexec,1
rlogin,1
rmmod,1
rpm2cpio,1
rpmdb,1
rpmquery,1
rpmsign,1
rpmverify,1
rsh,1
runlevel,1
script,1
scriptreplay,1
seinfo,1
semanage,1
sendmail,1
sesearch,1
setfacl,1
setpci,1
setsebool,1
shift,1
shopt,1
showmount,1
shuf,1
skill,1
slabtop,1
slocate,1
smbclient,1
smbpasswd,1
speedtest,1
spell,1
squid,1
squidclient,1
startx,1
strace,1
stty,1
sum,1
suspend,1
swapon,1
systool,1
tac,1
talk,1
tcpreplay,1
telint,1
tempfile,1
tftp,1
times,1
tload,1
tmux,1
tput,1
trap,1
tty,1
type,1
umask,1
umount,1
unalias,1
unarj,1
uncompress,1
unexpand,1
unlink,1
unprotoize,1
unset,1
usernetctl,1
users,1
uucico,1
uupick,1
uuto,1
vdfuse,1
vgchange,1
vgconvert,1
vgreduce,1
vgremove,1
vgrename,1
vgscan,1
volname,1
wait,1
wall,1
watch,1
whatis,1
write,1
xauth,1
xclip,1
xhost,1
xinit,1
xlsatoms,1
xlsclients,1
xlsfonts,1
xset,1
xz,1
yes,1
ypdomainname,1
zcat,1
zfore,1
zipinfo,1
zipsplit,1
znew,1
mkfs.xfs,1
mkfs.ext2,1
mkfs.ext3,1
mkfs.ext4,1
fc-list,1
ffmpeg,1
gluster,1
hadoop,1
impdp,1
jar,1
java,1
kubectl,1
multipath,1
pip,1
python,1
rz,1
sqlplus,1
srvctl,1
supervisorctl,1
sz,1
